RECID,G#B,O#B,TPOS,FPOS,FNEG,(TNEG), ./models/pm_lm_slm/output: p,r,F, ./models/pm_only/output: p,r,F, ./models/pm_lm/output: p,r,F
S37N46JJKH_SE_02,1,1,1.0,0.0,0.0,18.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S37N46JJKH_SE_03,1,1,1.0,0.0,0.0,27.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S37N46JJKH_SE_04,3,1,1.0,0.0,2.0,34.0,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,1.0,0.0,0.0
S37N46JJKH_SE_05,1,1,1.0,0.0,0.0,32.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S3KS68D5GG_SC_01,6,1,1.0,0.0,5.0,129.0,1.0,0.16666666666666666,0.2857142857142857,1.0,0.16666666666666666,0.2857142857142857,1.0,0.16666666666666666,0.2857142857142857
S3KS68D5GG_SD_01,5,1,0.0,1.0,5.0,135.0,0.0,0.0,0,1.0,1.0,1.0,1.0,0.2,0.33333333333333337
S3KS68D5GG_SE_01,1,1,1.0,0.0,0.0,43.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S3KS68D5GG_SE_02,2,1,1.0,0.0,1.0,51.0,1.0,0.5,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,0.0
S3KS68D5GG_SE_03,1,1,0.0,1.0,1.0,46.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0
S3KS68D5GG_SE_04,2,1,0.0,1.0,2.0,37.0,0.0,0.0,0,1.0,0.5,0.6666666666666666,0.0,0.0,0
S3KS68D5GG_SE_05,0,1,0.0,1.0,0.0,54.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S3KVR8CNFZ_SC_01,4,1,1.0,0.0,3.0,75.0,1.0,0.25,0.4,1.0,0.0,0.0,1.0,0.0,0.0
S3KVR8CNFZ_SD_01,3,1,0.0,1.0,3.0,78.0,0.0,0.0,0,1.0,0.3333333333333333,0.5,0.0,0.0,0
S3KVR8CNFZ_SE_01,1,1,0.0,1.0,1.0,18.0,0.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0
S3KVR8CNFZ_SE_02,3,1,1.0,0.0,2.0,32.0,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,1.0,0.0,0.0
S3KVR8CNFZ_SE_03,0,1,0.0,1.0,0.0,20.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S3KVR8CNFZ_SE_04,0,1,0.0,1.0,0.0,16.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S3KVR8CNFZ_SE_05,1,1,1.0,0.0,0.0,22.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S3WXPCUE47_SC_01,0,1,0.0,1.0,0.0,17.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S3WXPCUE47_SD_01,4,1,0.0,1.0,4.0,48.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0
S3WXPCUE47_SE_01,1,1,1.0,0.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S3WXPCUE47_SE_02,1,1,1.0,0.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
S3WXPCUE47_SE_03,0,1,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S3WXPCUE47_SE_04,1,1,1.0,0.0,0.0,27.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S3WXPCUE47_SE_05,3,1,1.0,0.0,2.0,23.0,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,1.0,0.0,0.0
S3X7KSJ2J2_SC_01,9,1,0.0,1.0,9.0,92.0,0.0,0.0,0,1.0,0.6666666666666666,0.8,0.6666666666666666,0.2222222222222222,0.3333333333333333
S3X7KSJ2J2_SD_01,1,1,1.0,0.0,0.0,109.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
